"","Groupid","totalVw","GroupTw","totalVc","GroupTc"
"1",87,2803533.68749999,59,25466.312499999,48
"2",104,2780465.99999999,58.5,48534.0000000001,46.25
"3",121,2742153.56249999,57,86846.4375000002,48
"4",138,2683999.99999999,56.5,145000,49.5
"5",154,3069550.68749999,59.5,339216,45
"6",155,2601408.9375,58,227591.062499997,48
"7",157,1789227.5625,62,86846.4375000002,47
"8",158,1445187.9375,63.5,48534.0000000001,47
"9",171,2924295.49999999,57.75,484471.187500002,45.75
"10",172,2489783.99999999,58,339216,45.5
"11",173,2092043.5,60.25,227591.062499997,45
"12",175,1406875.5,60.5,86846.4375000002,47
"13",176,1119448.00000001,63.875,48534.0000000001,46
"14",188,2740813.6875,60.5,667952.999999994,46
"15",189,2344528.81249999,61,484471.187500002,45.5
"16",190,1980418.5625,61.75,339216,45.5
"17",191,1648482.93750001,60.75,227591.062499997,46.5
"18",193,1081135.56250001,65,86846.4375000002,46
"19",205,2514508.87499999,60,894257.812500001,46
"20",206,2161047,61,667952.999999994,45.5
"21",207,1835163.375,58.5,484471.187500002,47
"22",208,1536858,61.75,339216,46
"23",210,1022982.00000001,64.125,145000,47.5
"24",221,2569809.0625,56,1493721.9375,47
"25",222,2240784.68749998,62.5,1167982.00000001,46.25
"26",223,1934742.18749999,57.25,894257.812500001,46.25
"27",224,1651681.56250001,59.5,667952.999999994,46.125
"28",225,1391602.8125,65,484471.187500002,47
"29",226,1154505.9375,58,339216,47
"30",227,940390.937500012,66,227591.062499997,47
"31",238,2187456.99999999,59,1876074,46.75
"32",239,1915044.74999999,60.75,1493721.9375,46.5
"33",240,1661017.99999998,61.25,1167982.00000001,45
"34",241,1425376.75,60,894257.812500001,43.5
"35",242,1208121.00000001,60.125,667952.999999994,46.5
"36",243,1009250.75,61.5,484471.187500002,45
"37",244,828766.000000009,53,339216,48
"38",255,1743896.4375,56,2319634.5625,46.5
"39",256,1532692.68749999,59.5,1876074,46.5
"40",257,1335278.0625,64,1493721.9375,46
"41",258,1151652.56249999,60.5,1167982.00000001,46.75
"42",260,825768.937500005,55.5,667952.999999994,45
"43",272,1234531,58,2828999.99999999,46.5
"44",273,1089132.12499999,56.625,2319634.5625,46
"45",274,952925.999999991,55.875,1876074,46.875
"46",275,825912.625000001,57,1493721.9375,46.5
"47",276,708091.999999994,58,1167982.00000001,45
"48",289,654764.312500007,55,3408766.68749999,45
"49",290,579766.687499998,54.25,2828999.99999999,45.5
"50",291,443560.562499996,52.5,1876074,49
"51",291,443560.562499996,52.5,2319634.5625,47
"52",291,509365.437499994,54,1876074,49
"53",291,509365.437499994,54,2319634.5625,47
"54",293,382352.062500004,54,1493721.9375,45
"55",306,NA,NA,4063531,48.25
"56",307,NA,NA,3408766.68749999,46
"57",308,NA,NA,2828999.99999999,46.625
"58",309,NA,NA,2319634.5625,45.5
"59",310,NA,NA,1876074,38.9444444444444
"60",311,NA,NA,1493721.9375,44.25
"61",312,NA,NA,1167982.00000001,46.5
